OBJECTID,SITE_NAME,OWNERSHIP,DISTRICT,ACRES,ADDRESS,ZonAgg,TypeLong
8403,Brian Honan Park,Private,Allston-Brighton,0.45,Allston Street,Residential District,"Parks, Playgrounds & Athletic Fields"
8404,Brighton HS Hillside,City of Boston,Allston-Brighton,1.43, ,Residential District,"Malls, Squares & Plazas"
8405,St. Elizabeth's Hospital Campus,Private,Allston-Brighton,4.86, ,Conservation Protection Subdistrict,"Malls, Squares & Plazas"
8406,Allandale Woods II,City of Boston,West Roxbury,10.59, ,Open Space District,Urban Wilds & Natural Areas
8409,Oxford Place Plaza,Private,Central Boston,0.05, ,Special District,"Malls, Squares & Plazas"
8412,Mattahunt School Woods,City of Boston,Mattapan,0.96, ,Residential District,Urban Wilds & Natural Areas
8413,Mattahunt Schoolyard,City of Boston,Mattapan,3.31, ,Residential District,"Parks, Playgrounds & Athletic Fields"
8414,Mattahunt School Entrance Plaza,City of Boston,Mattapan,0.37, ,Residential District,"Malls, Squares & Plazas"
8419,Huntington-Vancouver Triangle,Private,Fenway/Kenmore,0.14, ,Institutional District,"Malls, Squares & Plazas"
8420,Huntington-Hemenway Mall,City of Boston,Fenway/Kenmore,0.33,Crnr Huntington Ave & Hemenway St,Residential District,"Malls, Squares & Plazas"
8422,Franklin Field BHA Green,City of Boston,Mattapan,0.7, ,Residential District,"Parks, Playgrounds & Athletic Fields"
8423,Franklin Field BHA Playground,City of Boston,Mattapan,0.39, ,Residential District,"Parks, Playgrounds & Athletic Fields"
8430,Brigham Circle Plaza,Private,Jamaica Plain,0.22, ,Commercial/Office/Business District,"Malls, Squares & Plazas"
8433,Cedar-Juniper Natural Area,BNAN_TTOR,Roxbury,0.38,12 Cedar Street,Residential District,Urban Wilds & Natural Areas
8435,Dartmouth Square,Private,South End,0.17,150 Appleton Street,Residential District,"Malls, Squares & Plazas"
8436,BPL Courtyard,City of Boston,Back Bay/Beacon Hill,0.19,230 Dartmouth Street,Commercial/Office/Business District,"Malls, Squares & Plazas"
8437,Sharon's Park,City of Boston,Dorchester,0.31,835 Columbia Road,Open Space District,"Malls, Squares & Plazas"
8438,Tent City Courtyards,BRA,South End,0.53, ,Residential District,"Malls, Squares & Plazas"
8439,Washburn Street Green I,City of Boston,South Boston,0.13,Across from 8 Washburn St,Open Space District,"Malls, Squares & Plazas"
8440,William S. Britton Square,City of Boston,Dorchester,0.03, ,Residential District,"Malls, Squares & Plazas"
8442,Valenti Square,Commonwealth of Massachusetts,Central Boston,0.09, ,Special District,"Malls, Squares & Plazas"
8443,Brooke Courthouse Plaza,Commonwealth of Massachusetts,Central Boston,0.24,24 New Chardon Street,Special District,"Malls, Squares & Plazas"
8444,Mattahunt Woods I,City of Boston,Mattapan,6.01,"Canaan, Itasca, Croydon & Kennebec Sts.",Residential District,Urban Wilds & Natural Areas
8445,Fairlawn Green,Private,Mattapan,1.15, ,Residential District,"Malls, Squares & Plazas"
8446,Beethoven School Play Area,City of Boston,West Roxbury,0.52, ,Residential District,"Parks, Playgrounds & Athletic Fields"
8447,Algonquin Square,City of Boston,Dorchester,0.04, ,Residential District,"Malls, Squares & Plazas"
8448,Egleston Plaza I,City of Boston,Roxbury,0.12, ,Commercial/Office/Business District,"Malls, Squares & Plazas"
8449,Egleston Plaza II,City of Boston,Roxbury,0.01, ,Commercial/Office/Business District,"Malls, Squares & Plazas"
8450,Hunt Playground II,City of Boston,Mattapan,0.15, ,Open Space & Residential Districts,"Parks, Playgrounds & Athletic Fields"
8451,Egleston Square Peace Garden,Private,Roxbury,0.12, ,Commercial/Office/Business District,Community Gardens
8452,Golden Stairs Terrace Park II,City of Boston,East Boston,0.07, ,Residential District,"Malls, Squares & Plazas"
8453,Foley Square,City of Boston,Hyde Park,0.14,Greenwood Avenue & Metropolitan Avenue,Residential District,"Malls, Squares & Plazas"
8454,Jones Square,City of Boston,Hyde Park,0.04,Highland Street & Milton Street,Residential District,"Malls, Squares & Plazas"
8455,Schraffts Centre Harborwalk,Private,Charlestown,1.01,529-543 Main Street,Industrial District,"Malls, Squares & Plazas"
8456,Roslindale Wetlands Urban Wild I,City of Boston,Roslindale,8.05,Adjacent to 43 Hazelmere Rd,Open Space District,Urban Wilds & Natural Areas
